"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"University Of Education Winneba (UCEW)","CR/UEW/PRQ/WORKS/2019/09/01","NCT","Open Tender","1","Construction of Students centre at University of Education, Winneba at the North Campus","Central Tender Review Committee","13th December, 2019","13th February, 2021","Ghana Cedi","Gh¢22510912.96","BEROCK VENTURES LIMITED","","","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2013/04/03","NCT","Open Tender","3","Bid Security: GHÂ¢ 1000","Entity Tender Committee","20th September, 2013","25th November, 2013","Ghana Cedi","Gh¢85119.20","JIT Services Limited","","P. O. Box AO 667 Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2013/04/04","NCT","Open Tender","3","Bid Security: GHÂ¢ 1000  Wall Calenders: 3200 pieces  Desktop Calenders: 1950 pieces","Entity Tender Committee","20th September, 2013","19th December, 2013","Ghana Cedi","Gh¢22433.63","Sakoa Press Limited","","P. O. Box AN11590, Accra North","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2013/04/06","NCT","Open Tender","6","Quantity: 3 units","Ministerial Tender Review Committee","18th November, 2013","17th February, 2014","USA Dollar","$135000.00","Global Eyes Investment Limited","","P. O. Box A137 La-Accra Ghana","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2013/04/09","NCT","Open Tender","9","Quantity: 3 UNITS","Ministerial Tender Review Committee","18th November, 2013","17th February, 2014","USA Dollar","$120000.00","Global Eyes Investment Limited","","P. O. Box A137 La-Accra Ghana","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2015/10/02","NCT","Open Tender","2","Qty: 1 pcBid Security: 2000.00","Entity Tender Committee","28th June, 2016","-","Ghana Cedi","Gh¢216000.00","Honda Place Ghana Limited","","P. O. Box KN 3464 Kaneshie Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2015/10/03","NCT","Open Tender","3","Qty: 1 NumberBid Security: 4000.00","Entity Tender Committee","09th September, 2016","10th October, 2016","Ghana Cedi","Gh¢209970.60","Toyota Ghana company Limited","","P.O.Box 1644 Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2015/10/06","NCT","Open Tender","6","Qty: 18 unitsBid Security: 2000.00","Entity Tender Committee","22nd July, 2016","-","Ghana Cedi","Gh¢54000.00","MADSON JAPAN","","P. O. BOX 16990 ACCRA","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2015/10/07","NCT","Open Tender","7","Qty: 3 setBid Security: 2000.00","Entity Tender Committee","13th June, 2016","-","Ghana Cedi","Gh¢52875.00","akafa ventures","","","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2015/10/16","NCT","Open Tender","16","SUPPLY OF 1040 PIECES OF RISO INK E - TYPE","Entity Tender Committee","21st March, 2016","20th April, 2016","Ghana Cedi","Gh¢92778.40","Kedard Office Equipment Services","","P. O. Box KT 147 Kotobabi Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2015/10/16","NCT","Open Tender","16","SUPPLY OF 1040 PIECES OF RISO INK E-TYPE","Entity Tender Committee","21st March, 2016","21st April, 2016","Ghana Cedi","Gh¢92778.40","Kedard Office Equipment","","P.O. Box KT. 147, Kotobabi, Accra, Ghana","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2015/10/18","NCT","Open Tender","18","Supply of Rizo Master Z Type - 260 Pieces","Entity Tender Committee","21st March, 2016","20th April, 2016","Ghana Cedi","Gh¢48360.00","Kedard Office Equipment Services","","P. O. Box KT 147 Kotobabi Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2015/10/19","NCT","Open Tender","19","Qty: 156 ReamsBid Security: 2000.00","Entity Tender Committee","16th March, 2016","15th April, 2016","Ghana Cedi","Gh¢31200.00","MARY-HEN COMPANY LTD","","ACCRA","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2015/10/20","NCT","Open Tender","20","Qty: 16 BagsBid Security: 2000.00","Entity Tender Committee","16th March, 2016","15th April, 2016","Ghana Cedi","Gh¢19200.00","MARY-HEN COMPANY LTD","","ACCRA","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2015/10/22","NCT","Open Tender","1","Qty: 306 pairsBid Security: 2000.00","Entity Tender Committee","21st March, 2016","20th April, 2016","Ghana Cedi","Gh¢76163.40","Byforce Company Limited","","P. O. Box 16369 KIA- Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2015/3/15","NCT","Open Tender","15","Printing and Supply of Mathematics Methodology Course Book - 5,000 Copies","Entity Tender Committee","21st March, 2016","20th April, 2016","Ghana Cedi","Gh¢82500.00","ASHANTI FOAM MATTRESSES LIMITED","","ACCRA","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2016/017","NCT","Open Tender","17","Qty: 100000 pcsBid Security: 2000.00","Entity Tender Committee","08th July, 2016","08th August, 2016","Ghana Cedi","Gh¢799000.00","akafa ventures","","","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2016/02","NCT","Open Tender","2","Qty 2 -  Bid Security: 2000.00","Entity Tender Committee","28th June, 2016","28th July, 2016","Ghana Cedi","Gh¢603560.00","Global Eyes Investments Limited","","Post Office Box A 137 La- Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2016/03","NCT","Open Tender","3","Qty: 15000 ReamsBid Security: 2000.00","Entity Tender Committee","16th September, 2016","-","Ghana Cedi","Gh¢460012.50","Alsale Services Limited","","P. O. Box CT 3490, Cantonments, Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2016/04","NCT","Open Tender","4","Qty: 600 BottlesBid Security: 2000.00","Entity Tender Committee","26th May, 2016","26th June, 2016","Ghana Cedi","Gh¢52866.00","Kedard Office Equipment Services","","P. O. Box KT 147 Kotobabi Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2016/05","NCT","Open Tender","5","Qty: 300 BottlesBid Security: 2000.00","Entity Tender Committee","26th May, 2016","-","Ghana Cedi","Gh¢47553.00","Kedard Office Equipment Services","","P. O. Box KT 147 Kotobabi Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2016/11","NCT","Open Tender","11","Qty: 30000 pcsBid Security: 2000.00","Entity Tender Committee","13th June, 2016","-","Ghana Cedi","Gh¢137850.00","YEKNA INVESTMENTS LTD","","ACCRA","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2016/14","NCT","Open Tender","14","Qty: 4000 pcsBid Security: 2000.00","Entity Tender Committee","30th August, 2016","-","Ghana Cedi","Gh¢91000.00","Manuel Universal Services Trading Ltd.","","P. O. Box MP 1002 Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2016/15","NCT","Open Tender","15","Qty: 2500 pcsBid Security: 2000.00","Entity Tender Committee","09th August, 2016","-","Ghana Cedi","Gh¢517734.38","Lamsikany Limited","","P .O. Box GP 14574 Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2016/16","NCT","Open Tender","16","Qty: 20000 pcsBid Security: 2000.00","Entity Tender Committee","24th August, 2016","-","Ghana Cedi","Gh¢270900.00","White Walnut Ghana Limited","","P.O Box 4018 Cantonments,Accra","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2016/18","NCT","Open Tender","18","Qty: 4000 pcsBid Security: 2000.00","Entity Tender Committee","14th June, 2016","-","Ghana Cedi","Gh¢129720.00","ASHANTI FOAM FACTORT LIMITED","","P. O. BOX 7136 ACCRA - NORTH","","-"
"University Of Education Winneba (UCEW)","UEW/CR/NCT/GDS/2016/19","NCT","Open Tender","19","Qty: 1000000 pcsBid Security: 2000.00","Entity Tender Committee","27th July, 2016","-","Ghana Cedi","Gh¢360500.00","URBAN DATA & EDUCATIONAL CONSULT","","CT 6139  Cantonment - Accra","","-"
"University Of Education Winneba (UCEW)","UEW/DEV/WORK/2016/01/09","-","Single Sourced","1","","Central Tender Review Committee","-","11th November, 2016","11th November, 2017","Ghana Cedi","Gh¢15565149.98","SPARKX (SM) GHANA LIMITED","","P.O.Box GP 834,Accra.","","-"
"University Of Education Winneba (UCEW)","UEW/DEV/WORKS/2016/01/11","-","Single Sourced","1","","Central Tender Review Committee","-","24th December, 2016","24th December, 2017","Ghana Cedi","Gh¢4163279.87","Messrs C-Deck Construction Limited","","C-DECK CONSTRUCTION LTD, P.O. BOX 375, KNUST Kumasi-Ghana","","-"
"University Of Education Winneba (UCEW)","UEW/DEV/WORKS/2016/03/09","-","Single Sourced","1","","Central Tender Review Committee","-","23rd December, 2016","23rd October, 2017","Ghana Cedi","Gh¢2435167.03","Messrs Sparkx (SM) Ghana Limited","","M/S SPARKX LTD. P. O. Box GP 834, Accra TEL. 0244841036","","-"
"University Of Education Winneba (UCEW)","UEW/DEV/WORKS/2016/03/10","-","Single Sourced","1","","Central Tender Review Committee","-","23rd December, 2016","23rd October, 2017","Ghana Cedi","Gh¢2696111.83","Messrs Sparkx (SM) Ghana Limited","","M/S SPARKX LTD. P. O. Box GP 834, Accra TEL. 0244841036","","-"
"University Of Education Winneba (UCEW)","UEW/DEV/WORKS/2016/1/12","-","Single Sourced","1","","Central Tender Review Committee","-","27th October, 2016","27th October, 2017","Ghana Cedi","Gh¢7326703.87","Messre C-Deck Limited","","C-DECK LIMITED,         P.O. BOX 379         KNUST-KUMASI       TEL:0208159957/0242739685","","-"
"University Of Education Winneba (UCEW)","UEW/DEV/WRKS/2014/09/01","NCT","Open Tender","1","Category: D1,K1/D2,K2Bid Security: 2000.00","Entity Tender Committee","27th October, 2016","-","Ghana Cedi","Gh¢214881.05","MESSRS KINGWOSCO ENTERPRISE LIMITED","","P. O. BOX 1099 Koforidua","","-"
"University Of Education Winneba (UCEW)","UEW/GUSS/WORKS/2016/2","-","Single Sourced","1","","PPA/CTRC","-","-","-","Ghana Cedi","Gh¢45138652.17","Messrs Proteus Limited","","PROTEUS LIMITED, P.O. BOX KIA 9237, ACCRA","","-"
"University Of Education Winneba (UCEW)","UEW/GUSSS/WORKS/2016/1B","-","Single Sourced","1","","Central Tender Review Committee","-","11th November, 2016","11th November, 2017","Ghana Cedi","Gh¢10886829.39","Messrs Sparkx (SM) Ghana Limited","","M/S SPARKX LTD. P. O. Box GP 834, Accra TEL. 0244841036","","-"
"University Of Education Winneba (UCEW)","UEW/GUSSS/WORKS/2016/1B","-","Single Sourced","1","","Central Tender Review Committee","-","11th November, 2016","11th November, 2017","Ghana Cedi","Gh¢45138652.17","Messrs Sparkx (SM) Ghana Limited","","M/S SPARKX LTD. P. O. Box GP 834, Accra TEL. 0244841036","","-"
"University Of Education Winneba (UCEW)","UEW/GUSSS/WORKS/2016/2","-","Single Sourced","1","","Central Tender Review Committee","-","11th November, 2016","11th November, 2017","Ghana Cedi","Gh¢44811324.58","Messrs Sparkx (SM) Ghana Limited","","M/S SPARKX LTD. P. O. Box GP 834, Accra TEL. 0244841036","","-"
"University Of Education Winneba (UCEW)","UEW/GUSSS/WORKS/2016/2","-","Single Sourced","1","","Central Tender Review Committee","-","23rd December, 2016","23rd December, 2018","Ghana Cedi","Gh¢47813639.24","Messrs Paa Badu Construction Limited","","M/S PAA BADU CONS. LTD. P. O. Box A127 Cape-Coast TEL. 042-32798/35294","","-"
"University Of Education Winneba (UCEW)","UEW/GUSSS/WORKS/2016/3","-","Single Sourced","1","","Entity Tender Committee","-","08th November, 2016","08th November, 2018","Ghana Cedi","Gh¢45138652.17","Proteus  Limited","","P.O Box KIA 9237, Accra","","-"
"University Of Education Winneba (UCEW)","UEW/GUSSS/WORKS/2016/4","-","Single Sourced","1","","Central Tender Review Committee","-","11th November, 2016","30th November, 2018","Ghana Cedi","Gh¢44811324.58","SPARKX (SM) GHANA LIMITED","","P.O.Box GP 834,Accra.","","-"
"University Of Ghana (UG)","","-","Open Tender","1","ASPHALTIC OVERLAY OF SELECTED ROADS WITHIN THE UNIVERSITY OF GHANA","Central Tender Review Committee","18th February, 2013","19th August, 2013","Ghana Cedi","Gh¢6779997.77","Messrs. Ussuya Ghana Limited","","P. O. BOX CT 126, CANTONMENTS, ACCRA","","-"
"University Of Ghana (UG)","","-","Open Tender","1","CONSTRUCTION AND COMPLETION OF PROPOSED OFFICES AND LABORATORIES FOR SCHOOL OF PHARMACY","Ministerial Tender Review Committee","06th August, 2012","14th January, 2014","Ghana Cedi","Gh¢210766.16","Messrs. Appro-Tech Impex Limited","","P. O. BOX 5235,ACCRA-NORTH","","-"
"University Of Ghana (UG)","","-","Open Tender","2","CONSTRUCTION AND COMPLETION OF SMALL ANIMAL HOSPITAL FOR SCHOOL OF VETERINARY MEDICINE","Ministerial Tender Review Committee","12th October, 2012","18th June, 2013","Ghana Cedi","Gh¢864861.61","Messrs. Appro-Tech Impex Limited","","P. O. BOX 5235,ACCRA-NORTH","","-"
"University Of Ghana (UG)","CHS/PU/RST/GDS/02/133","-","Single Sourced","1","","Entity Tender Committee","-","23rd December, 2013","28th January, 2014","Ghana Cedi","Gh¢39565.75","EMMALAB ENGINEERING SERVICES","","P. O. BOX 775 MAMPROBI ACCRA","","-"
"University Of Ghana (UG)","GR/GR/UOG/GD/001/2012","-","Single Sourced","1","","Entity Tender Committee","-","04th December, 2012","22nd December, 2012","Ghana Cedi","Gh¢70158.91","IPMC","","P. O. Box AN7617 Accra-North Accra","","-"
"University Of Ghana (UG)","GR/NMI/GD/SS/0002/2021","-","Single Sourced","1","Contract for Transmission Electron Microscope - 1 unit","ETC/PPA","40 (1)a - Proprietary","08th October, 2021","08th January, 2022","Euro","€42150.00","EMSIS GmbH","0","0","0","-"
"University Of Ghana (UG)","GR/NMI/GD/SS/0003/2021","-","Single Sourced","Various","Contract for Sequencing COVID-19 Samples and Bacteria species for Research work- various","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","20th October, 2021","10th November, 2021","USA Dollar","$62601.00","ISN Products Nigeria Limited","0","0","0","-"
"University Of Ghana (UG)","GR/NMI/GD/SS/0007/2021","-","Single Sourced","1","Framework Contract for Supply of Reagents and Consumables - various","ETC/PPA","40 (1)d - Standardization/Compatibility/Limited Size","15th December, 2021","15th December, 2022","Ghana Cedi","Gh¢240582.00","Inqaba Biotec West Africa","0","0","0","-"
"University Of Ghana (UG)","GR/NMI/SSP/0004/2021","-","Single Sourced","Various","Contract for Reagents and Consumables - various","ETC/PPA","40 (1)a - Proprietary","15th September, 2021","10th November, 2021","Ghana Cedi","Gh¢3116160.00","K. Yalley Company Limited","0","0","0","-"
"University Of Ghana (UG)","GR/NMI/SSP/0005/2021","-","Single Sourced","Various","Contract for Reagents and consumables - Various","ETC/PPA","40 (1)a - Proprietary","24th August, 2021","10th November, 2021","Ghana Cedi","Gh¢4369827.00","NILEX Corporation Company Limited","0","0","0","-"
"University Of Ghana (UG)","GR/UG-CA/0018/2022","-","Single Sourced","Various","Contract for Renewal of Oracle AMC License","PPA Board","40 (1)d - Standardization/Compatibility/Limited Size","31st January, 2023","02nd January, 2024","Ghana Cedi","Gh¢413005.00","RXV Limited","0","0","0","-"
"University Of Ghana (UG)","GR/UG-CA/0026/22","-","Single Sourced","Various","Contract for supply of Souvenirs and Certificate Folders- Various","PPA Board","Section 90 (3) (c)","22nd February, 2022","31st October, 2019","Ghana Cedi","Gh¢568000.00","KINGDOM BOOKS AND STATIONERY LIMITED","","","","-"
"University Of Ghana (UG)","GR/UG-CA/GD/NCT/0011/2022","NCT","Open Tender","1","Supply of uniforms and other Protecting Clothing - various","Entity Tender Committee","29th September, 2022","15th November, 2022","Ghana Cedi","Gh¢136000.00","NOBLEMAX LOGISTICS LIMITED","","P.O.BOX NT281 ACCRA-NEWTOWN","","-"
"University Of Ghana (UG)","GR/UG-CA/GD/NCT/009A/2022","NCT","Open Tender","1","Supply of Motorbikes - 8 units","Entity Tender Committee","29th September, 2022","11th October, 2022","Ghana Cedi","Gh¢150000.00","Marc-Klon Ventures","0","0","0","-"
"University Of Ghana (UG)","GR/UG-CA/GD/NCT/FWA/006A/2022","NCT","Open Tender","1","Supply of A4 Paper under Framework Contract Agreement - 10,000 Reams","Entity Tender Committee","26th December, 2022","10th November, 2022","Ghana Cedi","Gh¢596250.00","Docutech Ghana Ltd","","Box 190 Trade Fair Accra","","-"
"University Of Ghana (UG)","GR/UG-CA/GDS/NCT/019/2021","NCT","Open Tender","1","Supply of 4x4 Cross Country vehicle. Qty - 1","Central Tender Review Committee","06th June, 2022","13th July, 2022","Ghana Cedi","Gh¢1207948.00","TOYOTA GHANA COMPANY LIMITED","","","","-"
"University Of Ghana (UG)","GR/UG-CA/GDS/NCT/019/2021","NCT","Open Tender","1","Supply of 4x4 Cross Country vehicle. Qty - 1","Central Tender Review Committee","14th January, 2022","24th January, 2022","Ghana Cedi","Gh¢819745.00","TOYOTA GHANA COMPANY LIMITED","","","","-"
"University Of Ghana (UG)","GR/UG-CA/SS/ADD/008/2023","-","Single Sourced","1","Contract for Printing and Supply of Certificate Blanks","PPA Board","40 (1)a - Proprietary","22nd March, 2023","22nd March, 2024","British Pound","£14160.00","ADVANCE SECURE TECHNOLOGIES LIMITED","0","CF3 5EA, EASTERN BUSINESS PARK, ST MELLONS CARDIFF, UK","0","-"
"University Of Ghana (UG)","GR/UG-CA/TS/0016/2023","-","Single Sourced","Various","Contract for Renewal of Dedicated License on Framework basis.","PPA Board","40 (1)a - Proprietary","03rd May, 2023","13th May, 2024","Ghana Cedi","Gh¢3900000.00","Vodafone Ghana","0","0","0","-"
"University Of Ghana (UG)","GR/UG-CA/TS/0030/22","-","Single Sourced","1","Contract for structural Engineering Software - 1`","PPA Board","40 (1)a - Proprietary","25th March, 2022","30th November, 2022","USA Dollar","$20321.00","Bentley Systems International Limited","0","0","0","-"
"University Of Ghana (UG)","GR/UG-CA/TS/0034/22","-","Single Sourced","Various","Contract for annual renewal of Turnitin license.","ETC/PPA","40 (1)a - Proprietary","04th January, 2023","04th January, 2024","USA Dollar","$75050.00","EIFFEL INNOVATION (PTY0 LIMITED","0","P.O BOX 22111, FISH HOEK 7974, WESTERN CAPE, SOUTH AFRICA","0","-"
"University Of Ghana (UG)","GR/UG-CA/TS/0035/23","-","Single Sourced","Various","Contract for Online Subscriptions","PPA Board","40 (1)d - Standardization/Compatibility/Limited Size","02nd May, 2023","03rd May, 2024","USA Dollar","$15630.00","Clarivate Analytics","0","Friars House 160 Blacfriars Road London SE1 8EZ, UK","0","-"
