"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/WPO/NCT/V.6/2019/02","NCT","Open Tender","2","2. Cocoa Marketing Company (Gh.) Limited therefore invites sealed Tenders from eligible suppliers for the supply of the above-mentioned items.  Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003, (Act 663) as amended and the Guidelines issued by  the Public Procurement Authority (PPA) of the Republic of Ghana.  3. Tenderers shall quote for all quantities in a Lot (of a package). Tenders not offering all quantities in the lot shall be declared non-responsive.   4. Interested eligible Tenderers may obtain further information from the Deputy Procurement Manager , Cocoa Marketing Company (Gh.) Limited, Room 11, First Floor of the Swanzy Shopping Arcade from Monday, 11th March, 2019 between 8.30am and 4.30pm local time onwards till the close of tender.  5. A complete set of Tender document in English may be purchased by interested tenderers on the submission of a written application to the address below and upon payment of a non-refundable fee of Four Hundred and Fifty Ghana Cedis (GHÂ¢450.00) payable at the Cash Office, Room 207, Second Floor, Cocoa House - Accra.  The method of payment will be by cash or bank draft payable to Cocoa Marketing Company (Gh.) Limited.    6. Tenders must be delivered to the address below on or before 10.30 am. on the closing date for the submission of tender.  Tenders shall be valid for a period of 120 days after deadline for Tender submission. All Tenders must be accompanied by a Tender Security of not less than Two percent (2%) of the Total Tender Price from a reputable Bank. Tender security shall be in the currency of the tender.   7. Tenders will be opened in the presence of Tenderers and/or their representatives who choose to attend at the Board Room, Room 306, 3rd Floor, Cocoa House, at 10.45 am on the day of tender submission.","Entity Tender Committee","17th June, 2019","12th July, 2019","Ghana Cedi","Gh¢166860.00","EKOFA COMPANY LIMITED","","","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/WKS/NCT/01/19","NCT","Open Tender","1","The works consist of Re-construction of Bungalow No. 131 and Out House such as; Demolishing and Alteration, Substructure, Superstructure Re-roofing, Structural/Carcassing Metal/Timber, Windows/Doors/Stairs, Electricals Installation, Surface Finishes and Building Fabric Sundries and External Works. The time for completion is Four (4) calendar months","Entity Tender Committee","21st May, 2019","26th March, 2020","Ghana Cedi","Gh¢665267.30","SAM-MART CONSTRUCTION LIMITED","","","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.1/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢526006.00","Pharmanova Ltd","","P.O.Box AT 579 Achimota-Accra","","-"
"Ministry of Trade and Industry","GR/MOTI/GDS/016/2020","NCT","Open Tender","IV AND VI","SUPPLY AND DELIVERY OF OFFICE EQUIPMENT(BRR)","Entity Tender Committee","26th June, 2020","23rd July, 2020","Ghana Cedi","Gh¢109500.00","MADSON JAPAN ENG (GH) LTD","","","","-"
"Ministry of Trade and Industry","GR/MOTI/GDS/016/2020","NCT","Open Tender","II","SUPPLY AND DELIVERY OF OFFICE EQUIPMENT(BRR)","Entity Tender Committee","25th March, 2020","24th April, 2020","Ghana Cedi","Gh¢551800.00","MADSON JAPAN ENG (GH) LTD","","","","-"
"Ministry of Trade and Industry","GR/MOTI/GDS/016/2020","NCT","Open Tender","I AND III","SUPPLY AND DELIVERY OF OFFICE EQUIPMENT(BRR)","Entity Tender Committee","25th March, 2020","24th April, 2020","Ghana Cedi","Gh¢172089.00","NEXT IT AND COMPUTER ENGINEERING LIMITED","","","","-"
"Ministry of Trade and Industry","GR/MOTI/GDS/015/2020","NCT","Open Tender","AUC I A,B & C","PROCUREMENT OF GOODS (AFCFTA)","Entity Tender Committee","25th June, 2020","30th July, 2020","Ghana Cedi","Gh¢553016.68","FAIRGREEN LIMITED","","","","-"
"Ministry of Trade and Industry","GR/MOTI/GDS/015/2020","NCT","Open Tender","AUC I D","PROCUREMENT OF GOODS (AFCFTA)","Entity Tender Committee","23rd June, 2020","30th July, 2020","Ghana Cedi","Gh¢13464.07","INTERCOM PROGRAMMING AND MANUFACTURING COMPANY LIMITED( IPMC)","","","","-"
"Ministry of Trade and Industry","GR/MOTI/GDS/015/2020","NCT","Open Tender","AUC I E","PROCUREMENT OF GOODS (AFCFTA)","Entity Tender Committee","23rd June, 2020","30th July, 2020","Ghana Cedi","Gh¢183750.00","SAMS FIRMA LIMITED","","","","-"
"Minerals Commission","MC/WKS/12/01","NCT","Open Tender","1","The extension of Head Office Block for Minerals Commission, Accra.","Entity Tender Committee","14th September, 2012","14th May, 2014","Ghana Cedi","Gh¢3302119.47","Berock Ventures Limited","","P. O. BOx SR65, Spintex Road","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.1/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢60000.00","PHYTO-RIKER (GIHOC) PHARMACEUTICALS LTD","","PHYTO-RIKER (GIHOC) PHARMACEUTICALS LTD P. O. BOX AN 5266 ACCRA - NORTH","","-"
"Ministry of Trade and Industry","GR/MOTI/GDS/015/2020","NCT","Open Tender","AUC II A","PROCUREMENT OF GOODS (AFCFTA)","Entity Tender Committee","23rd June, 2020","30th July, 2020","Ghana Cedi","Gh¢590000.00","DYNAMIC ACCESS TRADING LIMITED","","","","-"
"Ministry of Trade and Industry","GR/MOTI/GDS/015/2020","NCT","Open Tender","AUC II B","PROCUREMENT OF GOODS (AFCFTA)","Entity Tender Committee","23rd June, 2020","30th July, 2020","Ghana Cedi","Gh¢469704.90","TOYOTA GHANA COMPANY LIMITED","","","","-"
"Ministry of Trade and Industry","GR/MOTI/GDS/015/2020","NCT","Open Tender","AUC III","PROCUREMENT OF GOODS (AFCFTA)","Entity Tender Committee","23rd June, 2020","30th July, 2020","Ghana Cedi","Gh¢259386.18","FAIRGREEN LIMITED","","","","-"
"Ministry of Trade and Industry","GR/MOTI/GDS/015/2020","NCT","Open Tender","LOCAL OFFICE I A, B & C","PROCUREMENT OF GOODS (AFCFTA)","Entity Tender Committee","23rd June, 2020","30th July, 2020","Ghana Cedi","Gh¢357000.00","SAMS FIRMA LIMITED","","","","-"
"Ministry of Trade and Industry","GR/MOTI/GDS/015/2020","NCT","Open Tender","LOCAL OFFICE I D","PROCUREMENT OF GOODS (AFCFTA)","Entity Tender Committee","23rd June, 2020","30th July, 2020","Ghana Cedi","Gh¢20000.00","MADSON JAPAN ENG (GH) LTD","","","","-"
"Ministry of Trade and Industry","GR/MOTI/GDS/015/2020","NCT","Open Tender","LOCAL OFFICE II A & B","PROCUREMENT OF GOODS (AFCFTA)","Entity Tender Committee","23rd June, 2020","30th July, 2020","Ghana Cedi","Gh¢747635.35","TOYOTA GHANA COMPANY LIMITED","","","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.1/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢75000.00","ASPEE PHARMACEUTICALS LTD","","ASPEE PHARMACEUTICALS LTD P.O BOX AN 201 EJISU-KUMASI","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.1/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢11000.00","VICDORIS PHARMACEUTICALS LTD","","VICDORIS PHARMACEUTICALS LTD P. O. BOX AN 15088 ACCRA - NORTH","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0049/2019","NCT","Open Tender","6","Procurement of 25,000 No. Lanyards and Card Holders for 2019/2020 Freshmen of the University, KNUST.","Entity Tender Committee","01st April, 2019","24th September, 2019","Ghana Cedi","Gh¢175000.00","BANEX VENTURES","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0049/2019","NCT","Open Tender","2","Procurement of 10,000 Pcs. Branded Gold Medals for the University, KNUST.","HEAD OF ENTITY","12th June, 2019","27th August, 2019","Ghana Cedi","Gh¢100000.00","ENFONI COMPANY LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0057/2019","NCT","Open Tender","4A","Procurement of 3 No. 4 X 4 Cross Country Station Wagon Vehicles for the University.","Central Tender Review Committee","03rd April, 2019","25th June, 2019","Ghana Cedi","Gh¢1224414.68","TOYOTA GHANA COMPANY LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0005/2019","NCT","Open Tender","1","Procurement of 360 Pieces Students’ Mattresses for the Wilkado Hostel, KNUST.","Entity Tender Committee","29th August, 2019","18th September, 2019","Ghana Cedi","Gh¢133380.00","ASHANTI FOAM FACTORY LIMITED","","","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/138/15","NCT","Open Tender","3","Supply of 650 square metre porcelain floor tiles","Entity Tender Committee","29th May, 2015","22nd June, 2015","Ghana Cedi","Gh¢40680.00","BENYAMBA CONTRACT WORKS LTD","","","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.1/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢18000.00","DANADAMS PHARMACEUTICALS LTD","","DANADAMS PHARMACEUTICALS LTD P. O. BOX TS 73, TESHIE - ACCRA","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/119/15","NCT","Open Tender","2","Security software (anti-virus and internet control) - various","Entity Tender Committee","29th May, 2015","22nd June, 2015","Ghana Cedi","Gh¢50582.75","POWER CITY NETWORK LIMITED","","","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/126/15","NCT","Open Tender","5","Supply of various woods","Entity Tender Committee","29th May, 2015","22nd June, 2015","Ghana Cedi","Gh¢37600.00","QASAD ENTERPRISE","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0057/2019","NCT","Open Tender","3B","Procurement of 1 No. Cesspool Emptier Truck for the University, KNUST.","Central Tender Review Committee","08th August, 2019","01st June, 2020","Ghana Cedi","Gh¢1757736.43","KLATAA ENGINEERING SOLUTIONS COMPANY LIMITED","","","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/139/15","NCT","Open Tender","4","Supply of 300 square metre ceramic tiles","Entity Tender Committee","29th May, 2015","19th June, 2015","Ghana Cedi","Gh¢9870.00","IF TECHNOLOGY AND TRADING LTD.","","","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/141/15","NCT","Open Tender","7","Supply of 200 meters armoured cable","Entity Tender Committee","27th May, 2015","22nd June, 2015","Ghana Cedi","Gh¢159800.00","CONTRA-FOCUS LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0057/2019","NCT","Open Tender","4D","Procurement of 1 No. 55 Seater Bus for the Faculty of Pharmacy and Pharmaceutical Sciences, KNUST.","Central Tender Review Committee","03rd April, 2019","10th October, 2019","Ghana Cedi","Gh¢1131677.20","KLATAA ENGINEERING SOLUTIONS COMPANY LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0007/2019","NCT","Open Tender","3","Procurement of 400mts. 185mm2 X 4 Underground Armoured Copper Cable for the Termination of Wilkado Hostel Power Supply to KNUST Sub-Station Power Supply at Hall Six, KNUST.","Entity Tender Committee","17th June, 2019","06th September, 2019","Ghana Cedi","Gh¢212000.00","THOM ACHEAMPONG  VENTURES","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0029/2019","NCT","Open Tender","4B","Procurement of 1 No. Application and 1 No. Storage Servers for the Registry Documentation Unit, KNUST.","Entity Tender Committee","15th August, 2019","18th November, 2019","Ghana Cedi","Gh¢261276.59","FAIRGREEN LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0029/2019","NCT","Open Tender","4A","Procurement of 1 No. Application and 1 No. Storage Servers for the Institute of Distance Learning, KNUST.","Entity Tender Committee","15th August, 2019","18th November, 2019","Ghana Cedi","Gh¢261276.59","FAIRGREEN LIMITED","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0031/2019","NCT","Open Tender","5","Procurement of Laboratory Consumables for Clinical Classes for Students at the College of Health Sciences, KNUST.","Entity Tender Committee","01st April, 2019","28th June, 2019","Ghana Cedi","Gh¢196730.00","LABCHEM LIMITED","","","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.1/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢25800.00","MEGA LIFESCIENCES GHANA LTD","","MEGA LIFESCIENCES GHANA LTD P. O. BOX AD 155 ACCRA","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0029/2019","NCT","Open Tender","4D","Procurement of 1 No. High Performance Computing Server for the Regional Water and Environmental Sanitation Centre, KNUST (RWESCK) Project.","Entity Tender Committee","01st April, 2019","04th June, 2019","Ghana Cedi","Gh¢364097.91","FAIRGREEN LIMITED","","","","-"
